,annee,code,nom,conso,dept
711263,2018,59581,steenwerck,6.126,59
711271,2018,57767,stuckange,6.036,57
711424,2018,51562,taissy,5.95,51
711764,2018,43184,saint-ferreol-d'auroure,5.893,43
711804,2018,53215,saint-fort,5.607,53
711873,2018,17336,saint-georges-des-coteaux,7.284,17
711877,2018,10340,saint-germain,5.88,10
711963,2018,41212,saint-gervais-la-foret,5.109,41
711982,2018,34260,saint-gervais-sur-mare,4.397,34
712258,2018,30268,saint-jean-de-valeriscle,4.833,30
712262,2018,66177,saint-jean-lasseille,6.836,66
712449,2018,85238,saint-laurent-sur-sevre,5.548,85
712478,2018,33434,saint-louis-de-montferrand,6.516,33
712487,2018,33438,saint-maixant,6.204,33
712748,2018,40272,saint-martin-de-hinx,6.654,40
712946,2018,02684,saint-michel,4.313,2
712982,2018,13098,saint-mitre-les-remparts,7.411,13
713122,2018,39471,ruffey-sur-seille,4.584,39
713123,2018,27502,rugles,4.663,27
713124,2018,68291,rumersheim-le-haut,6.427,68
713189,2018,33363,sadirac,7.258,33
713191,2018,02668,sains-richaumont,5.056,2
713194,2018,07204,saint-agreve,3.688,7
713271,2018,76559,saint-aubin-de-cretot,7.474,76
713277,2018,77400,saint-augustin,7.656,77
713293,2018,45269,saint-ay,5.631,45
713323,2018,37211,saint-branchs,7.142,37
713390,2018,45271,saint-brisson-sur-loire,6.824,45
713813,2018,38381,saint-didier-de-la-tour,7.443,38
713893,2018,33394,saint-emilion,7.026,33
714303,2018,62705,rety,5.834,62
714386,2018,35241,richardais,5.343,35
714486,2018,17297,rivedoux-plage,7.098,17
714858,2018,07197,roiffieux,5.835,7
715038,2018,54462,rosieres-aux-salines,6.07,54
715398,2018,31462,rouffiac-tolosan,7.689,31
715422,2018,30223,rousson,7.278,30
715423,2018,21532,rouvres-en-plaine,6.6,21
715455,2018,38347,roybon,5.064,38
715484,2018,25466,pouilley-francais,6.758,25
715566,2018,77377,presles-en-brie,7.19,77
